DATE,INFL,10YTR,1YTR,UNRATE,UMCSENT,,
31/01/1978,6.40809,7.96,7.28,6.4,83.7,,
28/02/1978,6.19765,8.03,7.34,6.3,84.3,,
31/03/1978,6.33333,8.04,7.31,6.3,78.8,,
30/04/1978,6.6335,8.15,7.45,6.1,81.6,,
31/05/1978,6.76568,8.35,7.82,6,82.9,,
30/06/1978,6.88525,8.46,8.09,5.9,80,,
31/07/1978,7.18954,8.64,8.39,6.2,82.4,,
31/08/1978,7.47967,8.41,8.31,5.9,78.4,,
30/09/1978,7.9288,8.42,8.64,6,80.4,,
31/10/1978,8.3871,8.64,9.14,5.8,79.3,,
30/11/1978,8.50722,8.81,10.01,5.9,75,,
31/12/1978,8.45295,9.01,10.3,6,66.1,,
31/1/1979,8.55784,9.1,10.41,5.9,72.1,,
28/2/1979,9.14826,9.1,10.24,5.9,73.9,,
30/3/1979,9.40439,9.12,10.25,5.8,68.4,,
30/4/1979,9.33126,9.18,10.12,5.8,66,,
31/5/1979,9.42813,9.25,10.12,5.6,68.1,,
29/6/1979,9.35583,8.91,9.57,5.7,65.8,,
31/7/1979,9.60366,8.95,9.64,5.7,60.4,,
31/8/1979,9.98487,9.03,9.98,6,64.5,,
28/9/1979,9.89505,9.33,10.84,5.9,66.7,,
31/10/1979,10.11905,10.3,12.44,6,62.1,,
30/11/1979,10.65089,10.65,12.39,5.9,63.3,,
31/12/1979,11.32353,10.39,11.98,6,61,,
31/1/1980,11.9708,10.8,12.06,6.3,67,,
29/2/1980,11.99422,12.41,13.92,6.3,66.9,,
31/3/1980,12.60745,12.75,15.82,6.3,56.5,,
30/4/1980,13.08677,11.47,13.3,6.9,52.7,,
30/5/1980,13.13559,10.18,9.39,7.5,51.7,,
30/6/1980,13.60449,9.78,8.16,7.6,58.7,,
31/7/1980,12.3783,10.25,8.65,7.8,62.3,,
29/8/1980,11.82944,11.1,10.24,7.7,67.3,,
30/9/1980,12.00546,11.51,11.52,7.5,73.7,,
31/10/1980,12.16216,11.75,12.49,7.5,75,,
28/11/1980,12.16578,12.68,14.15,7.5,76.7,,
31/12/1980,12.15324,12.84,14.88,7.2,64.5,,
30/1/1981,11.34289,12.57,14.08,7.5,71.4,,
27/2/1981,10.83871,13.19,14.57,7.4,66.9,,
31/3/1981,9.92366,13.12,13.71,7.4,66.5,,
30/4/1981,9.43396,13.68,14.32,7.2,72.4,,
29/5/1981,9.61298,14.1,16.2,7.5,76.3,,
30/6/1981,9.38272,13.47,14.86,7.5,73.1,,
31/7/1981,11.13861,14.28,15.72,7.2,74.1,,
31/8/1981,11.56212,14.94,16.72,7.4,77.2,,
30/9/1981,11.81486,15.32,16.52,7.6,73.1,,
30/10/1981,10.96386,15.15,15.38,7.9,70.3,,
30/11/1981,10.2503,13.39,12.41,8.3,62.5,,
31/12/1981,9.54064,13.72,12.85,8.5,64.3,,
29/1/1982,9.25059,14.59,14.32,8.6,71,,
26/2/1982,9.19674,14.43,14.73,8.9,66.5,,
31/3/1982,8.68056,13.86,13.95,9,62,,
30/4/1982,8.85057,13.87,13.98,9.3,65.5,,
28/5/1982,8.65604,13.62,13.34,9.4,67.5,,
30/6/1982,8.46501,14.3,14.07,9.6,65.7,,
30/7/1982,7.68374,13.95,13.24,9.8,65.4,,
31/8/1982,7.05623,13.06,11.43,9.8,65.4,,
30/9/1982,5.88235,12.34,10.85,10.1,69.3,,
29/10/1982,5.86319,10.91,9.32,10.4,73.4,,
30/11/1982,5.18919,10.55,9.16,10.8,72.1,,
31/12/1982,4.51613,10.54,8.91,10.8,71.9,,
31/1/1983,4.60879,10.46,8.62,10.4,70.4,,
28/2/1983,4.47761,10.72,8.92,10.4,74.6,,
31/3/1983,4.57934,10.51,9.04,10.3,80.8,,
29/4/1983,4.11827,10.4,8.98,10.2,89.1,,
31/5/1983,3.66876,10.38,8.9,10.1,93.3,,
30/6/1983,3.22581,10.85,9.66,10.1,92.2,,
29/7/1983,3.20579,11.38,10.2,9.4,92.8,,
31/8/1983,3.0896,11.85,10.53,9.5,90.9,,
30/9/1983,3.39506,11.65,10.16,9.2,89.9,,
31/10/1983,3.58974,11.54,9.81,8.8,89.3,,
30/11/1983,4.31655,11.69,9.94,8.5,91.1,,
30/12/1983,4.73251,11.83,10.11,8.3,94.2,,
31/1/1984,5.02049,11.67,9.9,8,100.1,,
29/2/1984,4.89796,11.84,10.04,7.8,97.4,,
30/3/1984,5.09165,12.32,10.59,7.8,101,,
30/4/1984,5.17241,12.63,10.9,7.7,96.1,,
31/5/1984,5.25784,13.41,11.66,7.4,98.1,,
29/6/1984,5.34274,13.56,12.08,7.2,95.5,,
31/7/1984,5.21042,13.36,12.03,7.5,96.6,,
31/8/1984,5.29471,12.72,11.82,7.5,99.1,,
28/9/1984,5.27363,12.52,11.58,7.3,100.9,,
31/10/1984,5.14851,12.16,10.9,7.4,96.3,,
30/11/1984,4.82759,11.57,9.82,7.2,95.7,,
31/12/1984,4.91159,11.5,9.33,7.3,92.9,,
31/1/1985,4.4878,11.38,9.02,7.3,96,,
28/2/1985,4.76654,11.51,9.29,7.2,93.7,,
29/3/1985,4.74806,11.86,9.86,7.2,93.7,,
30/4/1985,4.5323,11.43,9.14,7.3,94.6,,
31/5/1985,4.51489,10.85,8.46,7.2,91.8,,
28/6/1985,4.40191,10.16,7.8,7.4,96.5,,
31/7/1985,4.19048,10.31,7.86,7.4,94,,
30/8/1985,4.17457,10.33,8.05,7.1,92.4,,
30/9/1985,3.96975,10.37,8.07,7.1,92.1,,
31/10/1985,4.04896,10.24,8.01,7.1,88.4,,
29/11/1985,4.41729,9.78,7.88,7,90.9,,
