id,name,industry
10001,GAS NATURAL INC,Utilities
10002,BANCTRUST FINANCIAL GROUP INC,Finance
10003,GREAT COUNTRY BK ASONIA CT,Finance
10005,WESTERN ENERGY RESOURCES INC,"Oil, Gas, and Coal"
10006,A C F INDUSTRIES INC,Manufacturing
10007,SHAREDATA INC,Business Equipment
10008,GARDENAMERICA CORP,Manufacturing
10009,IROQUOIS BANCORP INC,Finance
10010,CABOT MEDICAL CORP,Healthcare
10011,A T C GROUP SERVICES INC,Other
10012,D P A C TECHNOLOGIES CORP,Business Equipment
10015,A & M FOOD SERVICES INC,Retail
10016,SCOTT TECHNOLOGIES INC,Manufacturing
10017,CONCURRENT COMPUTER CORP,Business Equipment
10018,DELTA COMPUTEC INC,Business Equipment
10019,I F R SYSTEMS INC,Manufacturing
10020,KEY CENTURION BANCSHARES,Finance
10021,BRAINERD INTERNATIONAL INC,Other
10024,DOCUGRAPHIX INC,Business Equipment
10025,A E P INDUSTRIES INC,Manufacturing
10026,J & J SNACK FOODS CORP,Consumer non Durables
10027,TELECOMMUNICATIONS NETWORK INC,Other
10028,ENVELA CORP,"Oil, Gas, and Coal"
10029,A I F S INC,Other
10031,A A IMPORTING INC,Retail
10032,PLEXUS CORP,Business Equipment
10035,GOOD GUYS INC,Retail
10037,FRANKLIN BANCORP INC,Finance
10038,P O C I INC,Other
10039,AT COMM CORP,Business Equipment
10041,4G DATA SYSTEMS INC,Business Equipment
10042,CANYON RESOURCES CORP,Other
10043,ANALYSIS & TECHNOLOGY INC,Other
10044,ROCKY MOUNTAIN CHOC FAC INC NEW,Consumer non Durables
10045,OLIVERS STORES INC,Retail
10047,LAMONTS APPAREL INC,Chemicals
10048,CENTURY COMMUNICATIONS CORP,Telecommunications
10051,HANGER INC,Healthcare
10052,VIDEO LIBRARY INC,Retail
10056,NEWMIL BANCORP INC,Finance
10057,ACME CLEVELAND CORP NEW,Manufacturing
10062,ENVIROSOURCE INC,Consumer Durables
10063,AMERICAN HEALTH SVCS CORP,Healthcare
10064,TYCO TOYS INC,Consumer non Durables
10066,FRANKLIN WIRELESS CORP,Business Equipment
10070,DIGITEXT INC,Business Equipment
10071,ALEX BROWN INC,Finance
10074,A B S INDUSTRIES INC,Manufacturing
10075,V W R SCIENTIFIC PRODUCTS CORP,Other
10076,SCAT HOVERCRAFT INC,Manufacturing
10077,SPROUSE REITZ STORES INC,Retail
10078,SUN MICROSYSTEMS INC,Business Equipment
10079,GENERAL COMPUTER CORP,Business Equipment
10080,MOORE HANDLEY INC,Retail
10082,A C S ENTERPRISES,Business Equipment
10083,CIMFLEX TEKNOWLEDGE CORP,Business Equipment
10084,CRAFTMATIC INDUSTRIES INC,Retail
10085,U I C I,Finance
10087,BEAUTICONTROL COSMETICS INC,Retail
10089,ALPHA TECHNOLOGIES GROUP INC,Consumer Durables
10090,AMERICAN MOBILE SYSTEMS INC,Telecommunications
10091,INTERACTIVE TECHNOLOGIES INC,Business Equipment
10092,4 KIDS ENTERTAINMENT INC,Finance
10093,AIRCOA HOSPITALITY SVCS INC,Other
10094,TUESDAY MORNING CORP,Retail
10095,SYNERGEN INC,Healthcare
10097,FACELIFTERS HOME SYSTEMS INC,Other
10098,POLY TECH INC,Manufacturing
10100,AMERICAN LEARNING CORP NY,Finance
10101,PACER CORP WA,Business Equipment
10104,ORACLE CORP,Business Equipment
10106,LINCOLN SAVINGS BANK CARNEGIE PA,Finance
10107,MICROSOFT CORP,Business Equipment
10108,SUNGARD DATA SYSTEMS INC,Business Equipment
10114,ACCLAIM ENTERTAINMENT INC,Business Equipment
10116,ACURA PHARMACEUTICALS INC,Healthcare
10119,21ST CENTURY INSURANCE GROUP,Finance
10120,PIPER JAFFRAY COS INC,Finance
10122,MEDFORD BANCORP INC,Finance
10123,ACKERLEY GROUP INC,Telecommunications
10125,LEOS INDUSTRIES INC,Retail
10126,ONE VALLEY BANCORP INC,Finance
10127,PARIS BUSINESS FORMS INC,Manufacturing
10128,DISPLAY TECHNOLOGIES INC,Manufacturing
10133,TELEQUEST INC,Business Equipment
10136,COMMUNICATION CABLE INC,Business Equipment
